VAR,RESPONSE,MEANING
SC01,1,Nein (nicht an der Studie teilnehmen)
SC01,2,Ja
SC01,-9,Not answered
GE02,1,Ja ich spreche Deutsch auf muttersprachlichem Niveau.
GE02,2,Nein ich spreche Deutsch nicht auf muttersprachlichem Niveau.
GE02,-9,Not answered
RN01,1,female
RN01,2,male
RN01,3,person
FA02x02,6140,6140
FA02x02,70174,70174
FA02x02,1861,1861
FA02x02,19549,19549
FA02x02,63621,63621
FA02x02,41796,41796
FA02x02,58498,58498
FA02x02,44773,44773
FA02x02,42240,42240
FA02x02,74884,74884
FA02x02,34498,34498
FA02x02,58093,58093
FA02x02,42360,42360
FA02x02,52205,52205
FA02x02,74680,74680
FA02x02,77367,77367
FA02x02,8757,8757
FA02x02,29047,29047
FA02x02,21832,21832
FA02x02,53739,53739
FA02x02,4846,4846
FA02x02,56924,56924
FA02x02,14931,14931
FA02x02,41736,41736
FA02x02,27045,27045
FA02x02,28901,28901
FA02x02,30491,30491
FA02x02,32971,32971
FA02x02,20973,20973
FA02x02,78483,78483
FA02x02,9463,9463
FA02x02,78158,78158
FA02x02,59201,59201
FA02x02,69879,69879
FA02x02,30677,30677
FA02x02,83517,83517
FA02x02,82479,82479
FA02x02,66333,66333
FA02x02,54264,54264
FA02x02,14316,14316
FA02x02,18849,18849
FA02x02,37709,37709
FA02x02,44141,44141
FA02x02,31351,31351
FA02x02,1585,1585
FA02x02,64000,64000
FA02x02,13774,13774
FA02x02,49877,49877
FA02x02,70971,70971
FA02x02,51269,51269
FA02x02,12233,12233
FA02x02,15760,15760
FA02x02,3124,3124
FA02x02,30013,30013
FA02x02,5959,5959
FA02x02,27526,27526
FA02x02,9746,9746
FA02x02,3802,3802
FA02x02,766,766
FA02x02,36581,36581
FA02x02,52683,52683
FA02x02,85669,85669
FA02x02,67254,67254
FA02x02,53544,53544
FA02x02,49368,49368
FA02x02,56950,56950
FA02x02,78859,78859
FA02x02,32570,32570
FA02x02,31470,31470
FA02x02,25172,25172
FA02x02,51115,51115
FA02x02,78317,78317
FA02x02,62084,62084
FA02x02,81622,81622
FA02x02,46689,46689
FA02x02,74406,74406
FA02x02,37529,37529
FA02x02,26436,26436
FA02x02,57217,57217
FA02x02,59595,59595
FA02x02,55433,55433
FA02x02,11540,11540
FA02x02,74784,74784
FA02x02,50122,50122
FA02x02,41787,41787
FA02x02,28930,28930
FA02x02,19341,19341
FA02x02,48761,48761
FA02x02,78929,78929
FA02x02,76957,76957
FA02x02,37124,37124
FA02x02,7638,7638
FA02x02,45160,45160
FA02x02,46974,46974
FA02x02,41820,41820
FA02x02,37697,37697
FA02x02,6104,6104
FA02x02,70717,70717
FA02x02,38968,38968
FA02x02,22469,22469
FA02x02,59756,59756
FA02x02,33882,33882
FA02x02,23360,23360
FA02x02,54427,54427
FA02x02,85279,85279
FA02x02,32192,32192
FA02x02,11839,11839
FA02x02,2269,2269
FA02x02,73147,73147
FA02x02,23810,23810
FA02x02,31645,31645
FA02x02,48720,48720
FA02x02,85906,85906
FA02x02,16550,16550
FA02x02,73547,73547
FA02x02,33755,33755
FA02x02,44347,44347
FA02x03,55865,55865
FA02x03,48386,48386
FA02x03,80900,80900
FA02x03,49901,49901
FA02x03,77513,77513
FA02x03,35706,35706
FA02x03,14690,14690
FA02x03,36927,36927
FA02x03,13364,13364
FA02x03,50042,50042
FA02x03,80075,80075
FA02x03,26652,26652
FA02x03,64483,64483
FA02x03,8552,8552
FA02x03,46013,46013
FA02x03,13079,13079
FA02x03,34158,34158
FA02x03,59168,59168
FA02x03,57801,57801
FA02x03,55345,55345
FA02x03,85082,85082
FA02x03,38242,38242
FA02x03,74568,74568
FA02x03,65982,65982
FA02x03,47023,47023
FA02x03,70228,70228
FA02x03,24281,24281
FA02x03,69837,69837
FA02x03,1329,1329
FA02x03,9875,9875
FA02x03,38931,38931
FA02x03,68959,68959
FA02x03,11697,11697
FA02x03,43133,43133
FA02x03,41172,41172
FA02x03,31005,31005
FA02x03,51234,51234
FA02x03,52537,52537
FA02x03,38300,38300
FA02x03,846,846
FA02x03,24081,24081
FA02x03,63538,63538
FA02x03,10162,10162
FA02x03,82189,82189
FA02x03,82192,82192
FA02x03,21730,21730
FA02x03,28889,28889
FA02x03,80206,80206
FA02x03,79400,79400
FA02x03,83057,83057
FA02x03,40846,40846
FA02x03,61893,61893
FA02x03,45667,45667
FA02x03,54362,54362
FA02x03,58537,58537
FA02x03,83079,83079
FA02x03,57266,57266
FA02x03,37017,37017
FA02x03,1314,1314
FA02x03,40183,40183
FA02x03,85630,85630
FA02x03,83238,83238
FA02x03,22481,22481
FA02x03,51167,51167
FA02x03,67750,67750
FA02x03,23249,23249
FA02x03,63170,63170
FA02x03,68662,68662
FA02x03,48044,48044
FA02x03,16590,16590
FA02x03,44437,44437
FA02x03,74827,74827
FA02x03,50744,50744
FA02x03,79303,79303
FA02x03,41104,41104
FA02x03,22779,22779
FA02x03,65057,65057
FA02x03,28630,28630
FA02x03,39531,39531
FA02x03,41972,41972
FA02x03,36649,36649
FA02x03,10564,10564
FA02x03,76467,76467
FA02x03,9492,9492
FA02x03,18515,18515
FA02x03,17431,17431
FA02x03,40427,40427
FA02x03,20226,20226
FA02x03,48794,48794
FA02x03,3684,3684
FA02x03,19412,19412
FA02x03,41541,41541
FA02x03,84646,84646
FA02x03,61906,61906
FA02x03,2439,2439
FA02x03,54158,54158
FA02x03,60282,60282
FA02x03,75746,75746
FA02x03,24701,24701
FA02x03,45403,45403
FA02x03,6943,6943
FA02x03,15995,15995
FA02x03,66472,66472
FA02x03,35318,35318
FA02x03,17976,17976
FA02x03,60794,60794
FA02x03,82538,82538
FA02x03,85686,85686
FA02x03,66151,66151
FA02x03,84419,84419
FA02x03,53229,53229
FA02x03,56312,56312
FA02x03,37176,37176
FA02x03,74857,74857
FA02x03,2287,2287
FA02x03,82234,82234
FA02x03,33788,33788
FA02x03,84596,84596
FA02x03,29200,29200
FA02x03,61215,61215
FA02x03,75202,75202
FA02x03,8508,8508
FA02x03,57057,57057
FA02x03,35309,35309
FA02x03,65114,65114
FA02x03,17997,17997
FA02x03,66900,66900
FA02x03,59944,59944
FA02x03,43243,43243
FA02x03,77994,77994
FA02x03,40289,40289
FA02x03,28013,28013
FA02x03,27633,27633
FA02x03,30721,30721
FA02x03,45707,45707
FA02x03,12189,12189
FA02x03,76725,76725
FA02x03,39553,39553
FA02x03,80252,80252
FA02x03,16535,16535
FA02x03,53313,53313
FA02x03,56437,56437
FA02x03,81557,81557
FA02x03,3403,3403
FA02x03,65204,65204
FA02x03,32949,32949
FA02x03,37611,37611
FA02x03,54946,54946
FA02x03,6715,6715
FA02x03,53058,53058
FA02x03,16660,16660
FA02x03,85606,85606
FA02x03,38047,38047
FA02x03,24347,24347
FA02x03,47780,47780
FA02x03,67606,67606
FA02x03,11810,11810
FA02x03,4883,4883
FA02x03,4721,4721
FA02x03,83398,83398
FA02x03,15124,15124
FA02x03,26759,26759
FA02x03,33283,33283
FA02x03,83063,83063
FA02x03,71366,71366
FA02x03,48379,48379
FA02x03,6766,6766
FA02x03,77247,77247
FA02x03,41411,41411
FA02x03,26323,26323
FA02x03,30609,30609
FA02x03,48534,48534
FA02x03,38290,38290
FA02x03,42799,42799
FA02x03,81932,81932
FA02x03,32537,32537
FA02x03,73779,73779
FA02x03,42025,42025
FA02x03,48227,48227
FA02x03,52338,52338
FA02x03,16287,16287
FA02x03,2833,2833
FA02x03,1372,1372
FA02x03,20048,20048
FA02x03,75710,75710
FA02x03,48130,48130
FA02x03,73721,73721
FA02x03,6711,6711
FA02x03,45377,45377
FA02x03,10685,10685
FA02x03,27513,27513
FA02x03,46781,46781
FA02x03,32877,32877
FA02x03,28248,28248
FA02x03,40481,40481
FA02x03,73794,73794
FA02x03,36361,36361
FA02x03,6651,6651
FA02x03,47113,47113
FA02x03,65037,65037
FA02x03,28836,28836
FA02x03,31934,31934
FA02x03,43229,43229
FA02x03,11717,11717
FA02x03,68223,68223
FA02x03,40246,40246
FA02x03,78876,78876
FA02x03,21822,21822
FA02x03,26925,26925
FA02x03,69791,69791
FA02x03,4685,4685
FA02x03,57566,57566
FA02x03,23324,23324
FA02x03,32066,32066
FA02x03,30595,30595
FA02x03,31088,31088
FA02x03,75474,75474
FA02x03,49603,49603
FA02x03,6140,6140
FA02x03,70174,70174
FA02x03,1861,1861
FA02x03,19549,19549
FA02x03,63621,63621
FA02x03,41796,41796
FA02x03,58498,58498
FA02x03,44773,44773
FA02x03,42240,42240
FA02x03,74884,74884
FA02x03,34498,34498
FA02x03,58093,58093
FA02x03,42360,42360
FA02x03,52205,52205
FA02x03,74680,74680
FA02x03,77367,77367
FA02x03,8757,8757
FA02x03,29047,29047
FA02x03,21832,21832
FA02x03,53739,53739
FA02x03,4846,4846
FA02x03,56924,56924
FA02x03,14931,14931
FA02x03,41736,41736
FA02x03,27045,27045
FA02x03,28901,28901
FA02x03,30491,30491
FA02x03,32971,32971
FA02x03,20973,20973
FA02x03,78483,78483
FA02x03,9463,9463
FA02x03,78158,78158
FA02x03,59201,59201
FA02x03,69879,69879
FA02x03,30677,30677
FA02x03,83517,83517
FA02x03,82479,82479
FA02x03,66333,66333
FA02x03,54264,54264
FA02x03,14316,14316
FA02x03,18849,18849
FA02x03,37709,37709
FA02x03,44141,44141
FA02x03,31351,31351
FA02x03,1585,1585
FA02x03,64000,64000
FA02x03,13774,13774
FA02x03,49877,49877
FA02x03,70971,70971
FA02x03,51269,51269
FA02x03,12233,12233
FA02x03,15760,15760
FA02x03,3124,3124
FA02x03,30013,30013
FA02x03,5959,5959
FA02x03,27526,27526
FA02x03,9746,9746
FA02x03,3802,3802
FA02x03,766,766
FA02x03,36581,36581
FA02x03,52683,52683
FA02x03,85669,85669
FA02x03,67254,67254
FA02x03,53544,53544
FA02x03,49368,49368
FA02x03,56950,56950
FA02x03,78859,78859
FA02x03,32570,32570
FA02x03,31470,31470
FA02x03,25172,25172
FA02x03,51115,51115
FA02x03,78317,78317
FA02x03,62084,62084
FA02x03,81622,81622
FA02x03,46689,46689
FA02x03,74406,74406
FA02x03,37529,37529
FA02x03,26436,26436
FA02x03,57217,57217
FA02x03,59595,59595
FA02x03,55433,55433
FA02x03,11540,11540
FA02x03,74784,74784
FA02x03,50122,50122
FA02x03,41787,41787
FA02x03,28930,28930
FA02x03,19341,19341
FA02x03,48761,48761
FA02x03,78929,78929
FA02x03,76957,76957
FA02x03,37124,37124
FA02x03,7638,7638
FA02x03,45160,45160
FA02x03,46974,46974
FA02x03,41820,41820
FA02x03,37697,37697
FA02x03,6104,6104
FA02x03,70717,70717
FA02x03,38968,38968
FA02x03,22469,22469
FA02x03,59756,59756
FA02x03,33882,33882
FA02x03,23360,23360
FA02x03,54427,54427
FA02x03,85279,85279
FA02x03,32192,32192
FA02x03,11839,11839
FA02x03,2269,2269
FA02x03,73147,73147
FA02x03,23810,23810
FA02x03,31645,31645
FA02x03,48720,48720
FA02x03,85906,85906
FA02x03,16550,16550
FA02x03,73547,73547
FA02x03,33755,33755
FA02x03,44347,44347
FA02x04,55865,55865
FA02x04,48386,48386
FA02x04,80900,80900
FA02x04,49901,49901
FA02x04,77513,77513
FA02x04,35706,35706
FA02x04,14690,14690
FA02x04,36927,36927
FA02x04,13364,13364
FA02x04,50042,50042
FA02x04,80075,80075
FA02x04,26652,26652
FA02x04,64483,64483
FA02x04,8552,8552
FA02x04,46013,46013
FA02x04,13079,13079
FA02x04,34158,34158
FA02x04,59168,59168
FA02x04,57801,57801
FA02x04,55345,55345
FA02x04,85082,85082
FA02x04,38242,38242
FA02x04,74568,74568
FA02x04,65982,65982
FA02x04,47023,47023
FA02x04,70228,70228
FA02x04,24281,24281
FA02x04,69837,69837
FA02x04,1329,1329
FA02x04,9875,9875
FA02x04,38931,38931
FA02x04,68959,68959
FA02x04,11697,11697
FA02x04,43133,43133
FA02x04,41172,41172
FA02x04,31005,31005
FA02x04,51234,51234
FA02x04,52537,52537
FA02x04,38300,38300
FA02x04,846,846
FA02x04,24081,24081
FA02x04,63538,63538
FA02x04,10162,10162
FA02x04,82189,82189
FA02x04,82192,82192
FA02x04,21730,21730
FA02x04,28889,28889
FA02x04,80206,80206
FA02x04,79400,79400
FA02x04,83057,83057
FA02x04,40846,40846
FA02x04,61893,61893
FA02x04,45667,45667
FA02x04,54362,54362
FA02x04,58537,58537
FA02x04,83079,83079
FA02x04,57266,57266
FA02x04,37017,37017
FA02x04,1314,1314
FA02x04,40183,40183
FA02x04,85630,85630
FA02x04,83238,83238
FA02x04,22481,22481
FA02x04,51167,51167
FA02x04,67750,67750
FA02x04,23249,23249
FA02x04,63170,63170
FA02x04,68662,68662
FA02x04,48044,48044
FA02x04,16590,16590
FA02x04,44437,44437
FA02x04,74827,74827
FA02x04,50744,50744
FA02x04,79303,79303
FA02x04,41104,41104
FA02x04,22779,22779
FA02x04,65057,65057
FA02x04,28630,28630
FA02x04,39531,39531
FA02x04,41972,41972
FA02x04,36649,36649
FA02x04,10564,10564
FA02x04,76467,76467
FA02x04,9492,9492
FA02x04,18515,18515
FA02x04,17431,17431
FA02x04,40427,40427
FA02x04,20226,20226
FA02x04,48794,48794
FA02x04,3684,3684
FA02x04,19412,19412
FA02x04,41541,41541
FA02x04,84646,84646
FA02x04,61906,61906
FA02x04,2439,2439
FA02x04,54158,54158
FA02x04,60282,60282
FA02x04,75746,75746
FA02x04,24701,24701
FA02x04,45403,45403
FA02x04,6943,6943
FA02x04,15995,15995
FA02x04,66472,66472
FA02x04,35318,35318
FA02x04,17976,17976
FA02x04,60794,60794
FA02x04,82538,82538
FA02x04,85686,85686
FA02x04,66151,66151
FA02x04,84419,84419
FA02x04,53229,53229
FA02x04,56312,56312
FA02x04,37176,37176
FA02x04,74857,74857
FA02x04,2287,2287
FA02x04,82234,82234
FA02x04,33788,33788
FA02x04,84596,84596
FA02x04,29200,29200
